 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00              2.02E+03              2.06E+03
   2.00E+00              2.11E+03              2.16E+03
   3.00E+00              2.18E+03              2.23E+03
   4.00E+00              2.39E+03              2.43E+03
   5.00E+00              2.76E+03              2.76E+03
   6.00E+00              2.85E+03              2.86E+03
   7.00E+00              3.40E+03              3.41E+03
   8.00E+00              4.84E+03              4.41E+03
   9.00E+00              5.92E+03              5.33E+03
   1.00E+01              6.27E+03              5.47E+03
   1.10E+01              5.98E+03              5.39E+03
   1.20E+01              5.09E+03              4.41E+03
   1.30E+01              5.35E+03              4.55E+03
   1.40E+01              6.43E+03              5.21E+03
   1.50E+01              5.87E+03              5.06E+03
   1.60E+01              5.83E+03              5.03E+03
   1.70E+01              4.76E+03              4.33E+03
   1.80E+01              4.00E+03              4.00E+03
   1.90E+01              3.84E+03              3.84E+03
   2.00E+01              3.63E+03              3.64E+03
   2.10E+01              3.33E+03              3.34E+03
   2.20E+01              2.90E+03              2.95E+03
   2.30E+01              2.70E+03              2.74E+03
   2.40E+01              2.53E+03              2.58E+03
