 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # energyDemand.dat, contains the energy demand for each vector           
 #--------------------------------------------------------------------------#

Time [h]  Electricity [kW]      Thermal [kW]     Chilling [kW]

1.00E+00        1.300E+02      0.000E+00      0.000E+00
2.00E+00        1.300E+02      0.000E+00      0.000E+00
3.00E+00        1.300E+02      0.000E+00      0.000E+00
4.00E+00        1.300E+02      0.000E+00      0.000E+00
5.00E+00        1.300E+02      0.000E+00      0.000E+00
6.00E+00        3.250E+02      4.000E+02      4.000E+02
7.00E+00        3.900E+02      5.600E+02      4.500E+02
8.00E+00        5.200E+02      7.200E+02      5.000E+02
9.00E+00        4.550E+02      0.000E+00      0.000E+00
1.00E+01        5.200E+02      0.000E+00      0.000E+00
1.10E+01        4.060E+02      4.800E+02      4.000E+02
1.20E+01        4.550E+02      4.000E+02      5.000E+02
1.30E+01        3.830E+02      0.000E+00      0.000E+00
1.40E+01        5.130E+02      0.000E+00      0.000E+00
1.50E+01        4.220E+02      5.600E+02      4.000E+02
1.60E+01        4.870E+02      6.400E+02      3.500E+02
1.70E+01        5.200E+02      7.200E+02      3.500E+02
1.80E+01        3.770E+02      8.000E+02      4.000E+02
1.90E+01        4.740E+02      6.400E+02      5.000E+02
2.00E+01        4.160E+02      4.800E+02      4.000E+02
2.10E+01        3.770E+02      0.000E+00      3.000E+02
2.20E+01        2.080E+02      0.000E+00      0.000E+00
2.30E+01        1.300E+02      0.000E+00      0.000E+00
2.40E+01        1.300E+02      0.000E+00      0.000E+00
