 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # electricRevenues.dat, contains the revenues from electric energy selling.
 #--------------------------------------------------------------------------#

Time [h]       Client 001       Grid Sel          Grid Buy

1.00E+00        0.000E+00        2.013E+00        0.000E+00
2.00E+00        0.000E+00        1.861E+00        0.000E+00
3.00E+00        0.000E+00        1.747E+00        0.000E+00
4.00E+00        0.000E+00        1.422E+00        0.000E+00
5.00E+00        0.000E+00        9.074E-01        0.000E+00
6.00E+00        0.000E+00        7.382E-01        0.000E+00
7.00E+00        0.000E+00        0.000E+00       -1.962E+01
8.00E+00        0.000E+00        0.000E+00       -0.000E+00
9.00E+00        0.000E+00        0.000E+00       -0.000E+00
1.00E+01        0.000E+00        0.000E+00       -0.000E+00
1.10E+01        0.000E+00        0.000E+00       -0.000E+00
1.20E+01        0.000E+00        0.000E+00       -0.000E+00
1.30E+01        0.000E+00        0.000E+00       -0.000E+00
1.40E+01        0.000E+00        0.000E+00       -0.000E+00
1.50E+01        0.000E+00        9.894E-01        0.000E+00
1.60E+01        0.000E+00        1.048E+00        0.000E+00
1.70E+01        0.000E+00        2.150E+00        0.000E+00
1.80E+01        0.000E+00        2.682E+00        0.000E+00
1.90E+01        0.000E+00        0.000E+00       -1.191E+02
2.00E+01        0.000E+00        0.000E+00       -1.107E+02
2.10E+01        0.000E+00        0.000E+00       -9.828E+01
2.20E+01        0.000E+00        0.000E+00       -8.199E+01
2.30E+01        0.000E+00        0.000E+00       -7.353E+01
2.40E+01        0.000E+00        0.000E+00       -6.660E+01
