 Node n           0  Weight =    0.0000000000000000     
 Node n           1  Weight =   0.20084490486333614     
 Node n           2  Weight =    10.464006467839406     
 Node n           3  Weight =    10.508229209827119     
 Node n           4  Weight =    10.508229209827119     
 Node n           5  Weight =    10.560782010353186     
 Node n           6  Weight =    10.560782010353186     
 Node n           7  Weight =    10.560782010353186     
 Node n           8  Weight =    10.621903405625048     
 Node n           9  Weight =    10.621903405625048     
 Node n          10  Weight =    10.621903405625048     
 Node n          11  Weight =    10.621903405625048     
 Node n          12  Weight =    10.691093159265153     
 Node n          13  Weight =    10.691093159265153     
 Node n          14  Weight =    10.691093159265153     
 Node n          15  Weight =    10.691093159265153     
 Node n          16  Weight =    10.769166650373625     
 Node n          17  Weight =    10.769166650373625     
 Node n          18  Weight =    10.769166650373625     
 Node n          19  Weight =    10.769166650373625     
 Node n          20  Weight =    10.769166650373625     
 Node n          21  Weight =    10.855001955879228     
 Node n          22  Weight =    10.855001955879228     
 Node n          23  Weight =    10.855001955879228     
 Node n          24  Weight =    10.855001955879228     
 Node n          25  Weight =    10.855001955879228     
 Node n          26  Weight =    10.855001955879228     
 Node n          27  Weight =    10.948452963167211     
 Node n          28  Weight =    10.948452963167211     
 Node n          29  Weight =    10.948452963167211     
 Node n          30  Weight =    10.948452963167211     
 Node n          31  Weight =    10.948452963167211     
 Node n          32  Weight =    10.948452963167211     
 Node n          33  Weight =    10.948452963167211     
 Node n          34  Weight =    11.051882637335099     
 Node n          35  Weight =    11.051882637335099     
 Node n          36  Weight =    11.051882637335099     
 Node n          37  Weight =    11.051882637335099     
 Node n          38  Weight =    11.051882637335099     
 Node n          39  Weight =    11.051882637335099     
 Node n          40  Weight =    11.051882637335099     
 Node n          41  Weight =    11.162745790224141     
 Node n          42  Weight =    11.162745790224141     
 Node n          43  Weight =    11.162745790224141     
 Node n          44  Weight =    11.162745790224141     
 Node n          45  Weight =    11.162745790224141     
 Node n          46  Weight =    11.162745790224141     
 Node n          47  Weight =    11.162745790224141     
 Node n          48  Weight =    11.162745790224141     
 Node n          49  Weight =    11.499602286654737     
 Node n          50  Weight =    11.543825028642452     
 Node n          51  Weight =    11.596377829168517     
 Node n          52  Weight =    11.726688978080483     
 Node n          53  Weight =    11.804762469188956     
 Node n          54  Weight =    11.890597774694559     
 Node n          55  Weight =    12.087478456150430     
 Node n          56  Weight =    12.198341609039474     
 Node n          57  Weight =   0.78892563299946605     
 Node n          58  Weight =    11.052087195975535     
 Node n          59  Weight =    11.096309937963250     
 Node n          60  Weight =    11.148862738489315     
 Node n          61  Weight =    11.209984133761177     
 Node n          62  Weight =    11.279173887401281     
 Node n          63  Weight =    11.357247378509754     
 Node n          64  Weight =    11.443082684015357     
 Node n          65  Weight =    11.536533691303342     
 Node n          66  Weight =    11.639963365471228     
 Node n          67  Weight =    11.750826518360272     
 Node n          68  Weight =   0.94314260716103848     
 Node n          69  Weight =    11.206304170137107     
 Node n          70  Weight =    11.250526912124823     
 Node n          71  Weight =    11.303079712650888     
 Node n          72  Weight =    11.364201107922749     
 Node n          73  Weight =    11.433390861562856     
 Node n          74  Weight =    11.511464352671327     
 Node n          75  Weight =    11.597299658176929     
 Node n          76  Weight =    11.690750665464915     
 Node n          77  Weight =    11.794180339632803     
 Node n          78  Weight =    11.905043492521845     
 Node n          79  Weight =    1.1680300659437137     
 Node n          80  Weight =    11.431191628919784     
 Node n          81  Weight =    11.475414370907497     
 Node n          82  Weight =    11.589088566705424     
 Node n          83  Weight =    11.658278320345531     
 Node n          84  Weight =    11.736351811454004     
 Node n          85  Weight =    11.915638124247590     
 Node n          86  Weight =    12.019067798415477     
 Node n          87  Weight =    1.4016205997566780     
 Node n          88  Weight =    11.664782162732747     
 Node n          89  Weight =    11.709004904720462     
 Node n          90  Weight =    11.761557705246528     
 Node n          91  Weight =    11.822679100518389     
 Node n          92  Weight =    11.891868854158494     
 Node n          93  Weight =    11.969942345266967     
 Node n          94  Weight =    12.055777650772569     
 Node n          95  Weight =    12.149228658060554     
 Node n          96  Weight =    1.6352850593034904     
 Node n          97  Weight =    11.898446622279559     
 Node n          98  Weight =    11.995222164793340     
 Node n          99  Weight =    12.056343560065201     
 Node n         100  Weight =    12.125533313705308     
 Node n         101  Weight =    12.203606804813779     
 Node n         102  Weight =    12.289442110319381     
 Node n         103  Weight =    1.8668538734732012     
 Node n         104  Weight =    12.130015436449270     
 Node n         105  Weight =    12.174238178436985     
 Node n         106  Weight =    12.226790978963050     
 Node n         107  Weight =    12.287912374234912     
 Node n         108  Weight =    12.357102127875017     
 Node n         109  Weight =    2.0984729974411498     
 Node n         110  Weight =    12.361634560417219     
 Node n         111  Weight =    12.405857302404932     
 Node n         112  Weight =    12.458410102930999     
 Node n         113  Weight =    12.519531498202861     
 Node n         114  Weight =    2.3261778144454119     
 Node n         115  Weight =    12.633562119409195     
 Node n         116  Weight =    12.686114919935262     
 Node n         117  Weight =    2.5544717658072700     
 Node n         118  Weight =    12.817633328783339     
 Node n         119  Weight =    12.861856070771054     
 Node n         120  Weight =   0.11158050270185341     
 Node n         121  Weight =    10.374742065677923     
 Node n         122  Weight =    10.418964807665636     
 Node n         123  Weight =    10.418964807665636     
 Node n         124  Weight =    10.471517608191704     
 Node n         125  Weight =    10.471517608191704     
 Node n         126  Weight =    10.471517608191704     
 Node n         127  Weight =    10.532639003463565     
 Node n         128  Weight =    10.532639003463565     
 Node n         129  Weight =    10.532639003463565     
 Node n         130  Weight =    10.532639003463565     
 Node n         131  Weight =    10.601828757103670     
