 #--------------------------------------------------------------------------#
 #                                                                          #
 #                   PowerManager output file                               #
 #                                                                          #
 #--------------------------------------------------------------------------#
 # pec.dat: primary energy consumption.     
 #--------------------------------------------------------------------------#

Time [h]            Pec  [kJ]           
   1.00E+00              1.68E+03              2.06E+03
   2.00E+00              1.78E+03              2.16E+03
   3.00E+00              1.85E+03              2.23E+03
   4.00E+00              2.05E+03              2.43E+03
   5.00E+00              2.38E+03              2.76E+03
   6.00E+00              2.48E+03              2.86E+03
   7.00E+00              3.13E+03              3.41E+03
   8.00E+00              4.37E+03              4.41E+03
   9.00E+00              5.43E+03              5.33E+03
   1.00E+01              5.73E+03              5.47E+03
   1.10E+01              5.64E+03              5.39E+03
   1.20E+01              4.66E+03              4.41E+03
   1.30E+01              4.98E+03              4.55E+03
   1.40E+01              5.82E+03              5.21E+03
   1.50E+01              5.49E+03              5.06E+03
   1.60E+01              5.28E+03              5.03E+03
   1.70E+01              4.44E+03              4.33E+03
   1.80E+01              3.84E+03              4.00E+03
   1.90E+01              3.68E+03              3.84E+03
   2.00E+01              3.36E+03              3.64E+03
   2.10E+01              3.06E+03              3.34E+03
   2.20E+01              2.67E+03              2.95E+03
   2.30E+01              2.37E+03              2.74E+03
   2.40E+01              2.20E+03              2.58E+03
